account_id,user_id,academy_id,created_at,closed_at
acc1,u1,aca1,2025-12-20 17:06:05,
acc2,u2,aca1,2025-09-06 10:43:56,
acc3,u3,aca1,2026-06-11 14:37:14,
acc4,u4,aca1,2026-01-14 21:18:27,
acc5,u5,aca1,2026-02-23 13:43:40,
acc6,u6,aca1,2025-12-26 14:01:42,
acc7,u7,aca1,2026-01-06 10:29:08,
acc8,u8,aca1,2025-09-11 11:15:08,
acc9,u9,aca1,2026-01-29 14:25:44,
acc10,u10,aca1,2026-01-23 21:04:43,
acc11,u11,aca1,2026-01-26 19:52:48,
acc12,u12,aca1,2025-10-09 22:50:16,
acc13,u13,aca1,2025-10-26 14:30:01,
acc14,u14,aca1,2025-11-14 11:34:16,
acc15,u15,aca1,2026-06-15 17:42:07,
acc16,u16,aca1,2026-01-18 13:48:32,
acc17,u17,aca1,2026-04-29 21:40:19,
acc18,u18,aca1,2025-11-07 19:09:10,
acc19,u19,aca1,2026-02-02 10:03:15,
acc20,u20,aca1,2026-04-14 19:21:11,
acc21,u21,aca1,2025-10-15 09:19:25,
acc22,u22,aca1,2026-04-26 13:21:38,
acc23,u23,aca1,2026-03-17 23:28:48,
acc24,u24,aca1,2025-12-25 14:03:06,
acc25,u25,aca1,2025-11-16 12:20:54,
acc26,u26,aca1,2025-09-23 19:28:14,
acc27,u27,aca1,2026-03-03 16:16:23,
acc28,u28,aca1,2026-01-19 16:01:32,
acc29,u29,aca1,2025-10-09 17:38:49,
acc30,u30,aca1,2025-12-12 12:43:49,
