transaction_id,account_id,wish_id,amount,event_type,created_at
t1,acc1,w1,8522,WISH_DEPOSIT,2026-08-18 16:53:40
t2,acc1,w1,6962,WISH_DEPOSIT,2026-08-23 13:45:04
t3,acc1,w1,2407,WISH_DEPOSIT,2026-09-01 16:05:54
t4,acc1,w1,3488,WISH_DEPOSIT,2026-09-01 19:17:29
t5,acc2,w5,1105,WISH_DEPOSIT,2026-08-04 23:38:12
t6,acc2,w5,956,WISH_DEPOSIT,2026-08-06 18:48:10
t7,acc2,w5,1352,WISH_DEPOSIT,2026-08-17 23:58:00
t8,acc2,w5,1413,WISH_DEPOSIT,2026-08-21 17:31:01
t9,acc2,w5,914,WISH_DEPOSIT,2026-08-25 18:56:53
t10,acc2,w5,1626,WISH_DEPOSIT,2026-08-29 16:15:03
t11,acc2,w5,4481,WISH_DEPOSIT,2026-07-29 09:05:46
t12,acc3,w8,1019,WISH_DEPOSIT,2026-08-08 11:46:59
t13,acc3,w8,1703,WISH_DEPOSIT,2026-08-09 22:15:50
t14,acc3,w8,1284,WISH_DEPOSIT,2026-08-16 20:12:06
t15,acc3,w8,899,WISH_DEPOSIT,2026-08-17 20:22:27
t16,acc3,w8,1220,WISH_DEPOSIT,2026-08-22 21:55:46
t17,acc3,w8,3279,WISH_DEPOSIT,2026-09-01 08:25:46
t18,acc3,w8,4893,WISH_DEPOSIT,2026-09-01 14:12:12
t19,acc4,w11,558,WISH_DEPOSIT,2026-08-06 08:37:30
t20,acc4,w11,3073,WISH_DEPOSIT,2026-07-30 15:13:42
t21,acc4,w11,2957,WISH_DEPOSIT,2026-07-08 15:25:08
t22,acc4,w11,1319,WISH_DEPOSIT,2026-09-02 09:00:29
t23,acc5,w16,503,WISH_DEPOSIT,2026-08-01 17:49:08
t24,acc5,w16,1152,WISH_DEPOSIT,2026-08-05 15:10:47
t25,acc5,w16,-1229,WISH_TRANSFER,2026-08-25 20:35:00
t26,acc5,w16,-2709,WISH_TRANSFER,2026-08-13 11:34:02
t27,acc5,w16,842,WISH_DEPOSIT,2026-07-19 11:27:08
t28,acc5,w16,826,WISH_DEPOSIT,2026-07-10 18:57:59
t29,acc5,w16,3397,WISH_DEPOSIT,2026-09-01 14:42:06
t30,acc6,w18,3415,WISH_DEPOSIT,2026-08-03 17:27:38
t31,acc6,w18,4094,WISH_DEPOSIT,2026-08-07 10:24:57
t32,acc6,w18,4361,WISH_DEPOSIT,2026-08-10 13:16:02
t33,acc6,w18,4903,WISH_DEPOSIT,2026-08-12 20:00:33
t34,acc6,w18,4205,WISH_DEPOSIT,2026-08-14 13:23:27
t35,acc6,w18,2286,WISH_DEPOSIT,2026-08-17 17:39:20
t36,acc6,w18,4717,WISH_DEPOSIT,2026-08-20 10:46:57
t37,acc6,w18,3230,WISH_DEPOSIT,2026-08-23 23:19:42
t38,acc6,w18,3672,WISH_DEPOSIT,2026-08-25 17:25:44
t39,acc6,w18,3211,WISH_DEPOSIT,2026-08-27 11:12:26
t40,acc6,w18,2965,WISH_DEPOSIT,2026-07-22 12:39:36
t41,acc6,w18,2221,WISH_DEPOSIT,2026-07-13 07:19:18
t42,acc6,w18,4122,WISH_DEPOSIT,2026-07-14 17:29:28
t43,acc6,w18,1890,WISH_DEPOSIT,2026-09-01 23:30:50
t44,acc6,w18,3245,WISH_DEPOSIT,2026-09-01 16:32:42
t45,acc7,w20,2317,WISH_DEPOSIT,2026-08-01 16:15:17
t46,acc7,w20,3375,WISH_DEPOSIT,2026-08-05 17:57:34
t47,acc7,w20,2330,WISH_DEPOSIT,2026-08-09 11:09:14
t48,acc7,w20,3568,WISH_DEPOSIT,2026-08-12 11:45:13
t49,acc7,w20,2263,WISH_DEPOSIT,2026-08-15 20:26:21
t50,acc7,w20,4222,WISH_DEPOSIT,2026-08-18 21:26:03
t51,acc7,w20,2847,WISH_DEPOSIT,2026-08-22 20:24:57
t52,acc7,w20,4392,WISH_DEPOSIT,2026-08-25 07:54:56
t53,acc7,w20,4358,WISH_DEPOSIT,2026-08-28 19:30:00
t54,acc7,w20,3932,WISH_DEPOSIT,2026-07-10 19:54:57
t55,acc7,w20,2735,WISH_DEPOSIT,2026-07-18 14:31:14
t56,acc7,w20,3812,WISH_DEPOSIT,2026-09-02 07:24:21
t57,acc8,w22,1638,WISH_DEPOSIT,2026-08-04 12:19:06
t58,acc8,w22,1392,WISH_DEPOSIT,2026-08-20 07:59:19
t59,acc8,w22,1389,WISH_DEPOSIT,2026-08-23 19:25:45
t60,acc8,w22,1003,WISH_DEPOSIT,2026-08-24 09:37:44
t61,acc8,w22,1650,WISH_DEPOSIT,2026-08-25 14:06:44
t62,acc8,w22,836,WISH_DEPOSIT,2026-07-28 10:50:36
t63,acc8,w22,1064,WISH_DEPOSIT,2026-07-12 20:42:23
t64,acc8,w22,4515,WISH_DEPOSIT,2026-09-02 07:54:26
t65,acc8,w22,4266,WISH_DEPOSIT,2026-09-01 20:23:40
t66,acc9,w26,1036,WISH_DEPOSIT,2026-08-09 10:46:12
t67,acc9,w26,1123,WISH_DEPOSIT,2026-08-10 10:47:34
t68,acc9,w26,1773,WISH_DEPOSIT,2026-08-12 12:12:13
t69,acc9,w26,1556,WISH_DEPOSIT,2026-08-15 22:17:46
t70,acc9,w26,1403,WISH_DEPOSIT,2026-08-23 23:38:18
t71,acc9,w26,902,WISH_DEPOSIT,2026-08-26 13:18:14
t72,acc9,w26,4875,WISH_DEPOSIT,2026-07-06 16:00:45
t73,acc9,w26,2893,WISH_DEPOSIT,2026-07-05 15:02:03
t74,acc9,w26,600,WISH_DEPOSIT,2026-09-01 22:06:55
t75,acc9,w26,3291,WISH_DEPOSIT,2026-09-02 22:30:28
t76,acc10,w29,4584,WISH_DEPOSIT,2026-08-19 08:10:50
t77,acc10,w29,6519,WISH_DEPOSIT,2026-08-21 16:28:07
t78,acc10,w29,2730,WISH_DEPOSIT,2026-07-23 16:44:25
t79,acc10,w29,826,WISH_DEPOSIT,2026-07-17 22:28:05
t80,acc10,w29,2551,WISH_DEPOSIT,2026-07-29 20:47:20
t81,acc11,w32,1273,WISH_DEPOSIT,2026-08-01 20:03:12
t82,acc11,w32,1330,WISH_DEPOSIT,2026-08-17 18:39:48
t83,acc11,w32,1310,WISH_DEPOSIT,2026-08-18 21:48:03
t84,acc11,w32,1008,WISH_DEPOSIT,2026-08-22 15:35:08
t85,acc11,w32,1749,WISH_DEPOSIT,2026-08-27 16:28:56
t86,acc11,w32,1515,WISH_DEPOSIT,2026-08-28 22:07:01
t87,acc11,w32,3045,WISH_DEPOSIT,2026-07-26 14:45:10
t88,acc11,w32,1263,WISH_DEPOSIT,2026-07-18 07:35:26
t89,acc11,w32,1761,WISH_DEPOSIT,2026-07-08 10:29:07
t90,acc11,w32,2739,WISH_DEPOSIT,2026-07-16 16:32:45
t91,acc11,w32,1684,WISH_DEPOSIT,2026-09-02 22:15:29
t92,acc12,w35,1132,WISH_DEPOSIT,2026-08-01 09:15:40
t93,acc12,w35,1200,WISH_DEPOSIT,2026-08-09 16:14:47
t94,acc12,w35,2385,WISH_DEPOSIT,2026-09-02 16:49:51
t95,acc12,w35,2553,WISH_DEPOSIT,2026-09-02 14:40:12
t96,acc13,w39,643,WISH_DEPOSIT,2026-08-02 08:02:19
t97,acc13,w39,1004,WISH_DEPOSIT,2026-08-07 10:06:15
t98,acc13,w39,3438,WISH_DEPOSIT,2026-07-04 18:34:57
t99,acc13,w39,1500,WISH_DEPOSIT,2026-07-02 19:17:12
t100,acc13,w39,674,WISH_DEPOSIT,2026-09-01 13:41:40
t101,acc14,w43,4429,WISH_DEPOSIT,2026-08-19 11:47:26
t102,acc14,w43,8309,WISH_DEPOSIT,2026-08-21 10:47:04
t103,acc14,w43,1393,WISH_DEPOSIT,2026-07-15 18:32:37
t104,acc14,w43,855,WISH_DEPOSIT,2026-07-15 23:14:39
t105,acc14,w43,755,WISH_DEPOSIT,2026-07-24 23:19:29
t106,acc15,w47,7950,WISH_DEPOSIT,2026-08-19 14:54:06
t107,acc15,w47,6868,WISH_DEPOSIT,2026-08-27 18:07:48
t108,acc15,w47,715,WISH_DEPOSIT,2026-07-19 14:51:27
t109,acc15,w47,2738,WISH_DEPOSIT,2026-07-20 15:01:11
t110,acc15,w47,1986,WISH_DEPOSIT,2026-09-02 17:22:00
t111,acc15,w47,751,WISH_DEPOSIT,2026-09-01 19:04:09
t112,acc16,w49,904,WISH_DEPOSIT,2026-08-01 08:00:13
t113,acc16,w49,808,WISH_DEPOSIT,2026-08-04 13:49:08
t114,acc16,w49,-1015,WISH_TRANSFER,2026-08-19 16:20:07
t115,acc16,w49,-1778,WISH_TRANSFER,2026-08-26 20:11:08
t116,acc16,w49,3401,WISH_DEPOSIT,2026-07-23 14:32:35
t117,acc16,w49,846,WISH_DEPOSIT,2026-07-03 19:55:47
t118,acc16,w49,1137,WISH_DEPOSIT,2026-07-14 07:29:58
t119,acc16,w49,3813,WISH_DEPOSIT,2026-07-28 17:36:27
t120,acc16,w49,670,WISH_DEPOSIT,2026-09-02 16:07:25
t121,acc16,w49,4269,WISH_DEPOSIT,2026-09-02 12:51:39
t122,acc17,w52,3316,WISH_DEPOSIT,2026-08-01 22:32:09
t123,acc17,w52,2253,WISH_DEPOSIT,2026-08-03 21:06:51
t124,acc17,w52,3406,WISH_DEPOSIT,2026-08-06 09:32:41
t125,acc17,w52,2706,WISH_DEPOSIT,2026-08-09 08:15:45
t126,acc17,w52,3793,WISH_DEPOSIT,2026-08-11 21:33:33
t127,acc17,w52,4497,WISH_DEPOSIT,2026-08-13 12:23:23
t128,acc17,w52,3158,WISH_DEPOSIT,2026-08-17 19:26:49
t129,acc17,w52,3385,WISH_DEPOSIT,2026-08-21 08:50:40
t130,acc17,w52,4651,WISH_DEPOSIT,2026-08-23 17:04:21
t131,acc17,w52,2387,WISH_DEPOSIT,2026-08-27 19:18:16
t132,acc17,w52,1658,WISH_DEPOSIT,2026-07-28 11:21:05
t133,acc17,w52,3710,WISH_DEPOSIT,2026-07-30 18:19:41
t134,acc17,w52,3585,WISH_DEPOSIT,2026-07-05 09:19:35
t135,acc17,w52,4812,WISH_DEPOSIT,2026-07-21 17:52:08
t136,acc18,w54,1044,WISH_DEPOSIT,2026-08-08 16:51:50
t137,acc18,w54,1280,WISH_DEPOSIT,2026-08-15 13:23:43
t138,acc18,w54,1769,WISH_DEPOSIT,2026-08-18 21:29:49
t139,acc18,w54,1088,WISH_DEPOSIT,2026-08-24 19:32:33
t140,acc18,w54,1228,WISH_DEPOSIT,2026-08-25 12:52:12
t141,acc18,w54,1620,WISH_DEPOSIT,2026-08-26 11:55:16
t142,acc18,w54,1340,WISH_DEPOSIT,2026-09-02 18:35:59
t143,acc18,w54,1813,WISH_DEPOSIT,2026-09-01 16:05:48
t144,acc19,w56,8710,WISH_DEPOSIT,2026-08-25 14:45:09
t145,acc19,w56,6386,WISH_DEPOSIT,2026-08-27 20:00:39
