wish_id,account_id,academy_id,title,target_amount,target_date,is_representative,status,created_at,closed_at,deleted_at,saved_amount
w1,acc1,aca1,소설전집,6000,,TRUE,진행중,2026-07-12 18:38:16,,,21379
w2,acc1,aca1,축구화,31000,,FALSE,완료,2026-08-08 12:34:46,2026-08-19 16:27:46,,31000
w3,acc1,aca1,축구공,40000,,FALSE,완료,2026-07-15 17:53:49,2026-07-20 20:34:49,,40000
w4,acc1,aca1,게임머니,141000,,FALSE,완료,2026-07-18 09:13:58,2026-08-16 01:08:58,,141000
w5,acc2,aca1,피규어,15000,2026-11-09,TRUE,진행중,2026-07-11 10:18:27,,,11847
w6,acc2,aca1,포켓몬카드,18000,,FALSE,완료,2026-08-31 13:59:34,2026-09-02 13:34:34,,18000
w7,acc2,aca1,참고서,12000,,FALSE,완료,2026-07-29 23:28:07,2026-08-10 06:44:07,,12000
w8,acc3,aca1,원피스,14000,2026-10-26,TRUE,진행중,2026-07-02 14:04:57,,,14297
w9,acc3,aca1,보드게임세트,12000,,FALSE,완료,2026-07-29 10:03:41,2026-08-23 01:00:41,,12000
w10,acc3,aca1,드론,18000,,FALSE,완료,2026-07-27 22:30:13,2026-08-15 05:02:13,,18000
w12,acc4,aca1,아이돌응원봉,49000,,FALSE,포기,2026-07-02 23:05:54,2026-08-06 09:38:04,,21792
w13,acc4,aca1,소설전집,24000,,FALSE,포기,2026-07-19 14:37:38,2026-08-02 09:26:42,,7826
w11,acc4,aca1,포켓몬카드,9000,,TRUE,진행중,2026-07-05 13:18:13,,,7907
w14,acc4,aca1,스마트워치,179000,,FALSE,완료,2026-08-26 09:56:15,2026-08-30 15:20:15,,179000
w15,acc4,aca1,피규어,48000,,FALSE,완료,2026-08-09 23:00:42,2026-08-23 14:30:42,,48000
w16,acc5,aca1,축구공,17000,2026-12-24,FALSE,진행중,2026-07-16 15:57:58,,,2782
w17,acc5,aca1,블루투스스피커,246000,,FALSE,완료,2026-08-26 20:01:11,2026-08-30 15:13:11,,246000
w18,acc6,aca1,캠핑텐트,47000,,TRUE,진행중,2026-07-11 15:55:04,,,52537
w19,acc6,aca1,무선이어폰,269000,,FALSE,완료,2026-07-03 14:30:39,2026-07-10 06:05:39,,269000
w20,acc7,aca1,드라이기,46000,2026-12-18,TRUE,진행중,2026-07-15 23:27:53,,,40151
w21,acc7,aca1,무드등,12000,,FALSE,완료,2026-08-28 19:37:36,2026-09-01 14:38:36,,12000
w22,acc8,aca1,쿠션팩트,27000,2026-10-27,TRUE,진행중,2026-07-19 13:29:44,,,17753
w23,acc8,aca1,콘서트 티켓,134000,,FALSE,완료,2026-08-09 22:29:27,2026-08-22 04:08:27,,134000
w24,acc8,aca1,플래너,24000,,FALSE,완료,2026-08-26 21:15:48,2026-09-01 04:38:48,,24000
w25,acc8,aca1,참고서,21000,,FALSE,완료,2026-07-02 22:54:20,2026-07-19 12:38:20,,21000
w26,acc9,aca1,우쿨렐레,80000,,TRUE,진행중,2026-07-19 18:30:35,,,19452
w27,acc9,aca1,만년필세트,27000,,FALSE,완료,2026-07-26 22:04:36,2026-08-24 14:05:36,,27000
w28,acc9,aca1,스마트워치,148000,,FALSE,완료,2026-07-06 14:07:35,2026-08-13 11:45:35,,148000
w29,acc10,aca1,우쿨렐레,81000,,TRUE,진행중,2026-07-19 13:27:07,,,17210
w30,acc10,aca1,무드등,39000,,FALSE,완료,2026-08-18 12:30:33,2026-09-02 08:48:33,,39000
w31,acc10,aca1,가습기,37000,,FALSE,완료,2026-08-10 22:05:30,2026-08-26 18:38:30,,37000
w32,acc11,aca1,포토카드앨범,26000,2026-12-28,FALSE,진행중,2026-07-15 09:20:16,,,18677
w33,acc11,aca1,참고서,14000,,FALSE,완료,2026-08-29 23:17:52,2026-08-30 00:08:52,,14000
w34,acc11,aca1,가습기,33000,,FALSE,완료,2026-08-25 11:28:34,2026-08-31 00:13:34,,33000
w35,acc12,aca1,게임머니,229000,2026-12-03,TRUE,진행중,2026-07-03 17:54:43,,,7270
w36,acc12,aca1,제주도 여행,242000,,FALSE,완료,2026-07-20 21:02:37,2026-08-06 12:03:37,,242000
w37,acc12,aca1,인라인스케이트,81000,,FALSE,완료,2026-08-17 20:11:12,2026-08-20 20:51:12,,81000
w38,acc12,aca1,피규어,37000,,FALSE,완료,2026-08-23 12:16:58,2026-09-01 21:57:58,,37000
w40,acc13,aca1,아이돌응원봉,15000,,FALSE,포기,2026-07-13 21:23:42,2026-08-24 20:37:47,,6812
w41,acc13,aca1,제주도 여행,167000,,FALSE,포기,2026-07-16 20:17:02,2026-08-23 18:13:28,,80197
w39,acc13,aca1,전기요,52000,,TRUE,진행중,2026-07-20 14:41:04,,,7259
w42,acc13,aca1,텀블러,32000,,FALSE,완료,2026-07-05 13:37:13,2026-07-26 19:06:13,,32000
w43,acc14,aca1,무선이어폰,155000,2026-12-19,TRUE,진행중,2026-07-01 11:00:22,,,15741
w44,acc14,aca1,캘리그라피펜,16000,,FALSE,완료,2026-08-15 21:04:57,2026-08-17 17:41:57,,16000
w45,acc14,aca1,다이어리,20000,,FALSE,완료,2026-07-18 17:24:38,2026-08-14 14:06:38,,20000
w46,acc14,aca1,소설전집,29000,,FALSE,완료,2026-08-20 10:54:41,2026-09-02 00:30:41,,29000
w47,acc15,aca1,참고서,15000,,TRUE,진행중,2026-07-14 08:18:38,,,21008
w48,acc15,aca1,게임타이틀,75000,,FALSE,완료,2026-08-16 17:49:36,2026-08-30 07:56:36,,75000
w49,acc16,aca1,플래너,27000,2026-12-28,TRUE,진행중,2026-07-14 10:18:43,,,13055
w50,acc16,aca1,다이어리,15000,,FALSE,완료,2026-07-28 19:33:05,2026-08-15 20:19:05,,15000
w51,acc16,aca1,우쿨렐레,80000,,FALSE,완료,2026-08-19 12:04:32,2026-08-22 02:50:32,,80000
w52,acc17,aca1,축구공,51000,2026-10-26,TRUE,진행중,2026-07-02 18:32:04,,,47317
w53,acc17,aca1,게임머니,185000,,FALSE,완료,2026-07-13 14:08:09,2026-07-20 15:12:09,,185000
w54,acc18,aca1,블루투스스피커,155000,,TRUE,진행중,2026-07-15 08:26:23,,,11182
w55,acc18,aca1,드라이기,43000,,FALSE,완료,2026-08-29 07:26:03,2026-08-31 14:03:03,,43000
w56,acc19,aca1,전공서적세트,21000,2026-09-10,TRUE,진행중,2026-07-03 10:53:57,,,22743
w57,acc19,aca1,캠프 참가비,193000,,FALSE,완료,2026-07-07 17:08:02,2026-08-08 19:14:02,,193000
